sex,bin,crab,cw,claw,path_length,time_moving,time_still,prop_moving,notes,speed,speed = d/time_moving
female,1,f1,60,12,NA,NA,NA,NA,,NA,
female,1,f10,62,11,902.2,188,112,0.627,,4.80,
female,2,f11,68,16,589.4,116,184,0.387,,5.08,
female,2,f12,65,14,428.3,138,162,0.460,,3.10,
female,3,f13,63,14,849.3,211,89,0.703,slow,4.02,
female,1,f14,64,12,374.9,82,218,0.273,very stationary,4.57,
female,3,f15,64,12,898.4,NA,NA,NA,,NA,
female,2,f16,61,16,325.7,90,210,0.300,,3.62,
female,3,f17,59,11,978.2,207,93,0.690,,4.73,
female,2,f2,66,13,NA,NA,NA,NA,,NA,
female,1,f3,62,13,638.4,143,157,0.477,,4.46,
female,3,f5,60,13,405.4,110,190,0.367,,3.69,
female,2,f6,65,16,NA,43,230,0.158,vid 273 seconds,NA,
female,3,f7,61,11,NA,224,51,0.815,vid 275 sec,NA,
female,1,f8,67,14,620.4,150,150,0.500,,4.14,
female,3,f9,61,12,641.2,157,143,0.523,,4.08,
male,3,m1,68,19,641.6,126,174,0.420,,5.09,
male,2,m10,64,17,468.0,108,192,0.360,,4.33,
male,3,m11,69,17,563.8,106,194,0.353,,5.32,
male,1,m12,66,17,1183.1,222,78,0.740,,5.33,
male,3,m13,66,19,NA,NA,NA,NA,,NA,
male,1,m14,72,20,1136.4,232,68,0.773,,4.90,
male,3,m15,63,16,836.4,217,83,0.723,,3.85,
male,1,m16,65,14,946.6,252,48,0.840,,3.76,
male,1,m17,73,17,463.1,205,95,0.683,,2.26,
male,1,m18,65,20,710.3,203,97,0.677,slow,3.50,
male,2,m2,66,15,NA,NA,NA,NA,,NA,
male,1,m3,66,18,990.1,258,42,0.860,,3.84,
male,2,m4,71,20,665.4,159,141,0.530,,4.19,
male,3,m5,69,21,325.0,105,195,0.350,,3.10,
male,1,m6,71,18,970.7,218,82,0.727,,4.45,
male,2,m7,70,17,399.4,115,185,0.383,,3.47,
male,1,m8,75,21,570.8,112,188,0.373,,5.10,
male,1,m9,66,19,1116.7,241,59,0.803,,4.63,
