sex,cw,claw,biofoul
male,74,15,no
female,70,15,yes 
female,65,10,no
male,61,10,no
female,50,10,no
male,50,13,no
male,71,20,no
male,75,25,yes 
male,65,20,no
male,66,12,yes 
female,60,10,no
male,65,19,no
male,75,20,no
female,54,10,no
male,59,12,no
male,74,20,yes 
female,54,13,no
female,54,16,no
male,66,20,yes 
male,79,22,yes 
male,67,15,no
female,50,10,no
female,51,13,no
female,60,14,no
female,45,10,no
male,55,20,no
female,51,15,no
male,60,16,no
male,60,15,no
male,65,15,no
male,70,24,yes 
male,65,15,no
male,65,15,no
male,65,10,no
female,70,15,yes 
female,75,12,no
male,74,17,no
female,75,14,yes 
female,71,19,no
male,70,21,no
male,70,17,no
female,51,10,no
male,70,18,no
male,70,16,no
male,71,18,yes 
female,52,10,no
female,54,11,no
female,59,10,no
male,69,22,yes 
female,60,14,no
female,57,17,no
male,68,17,no
male,77,24,yes 
male,65,12,no
female,56,16,no
female,47,10,no
female,53,6,no
male,69,15,no
female,55,10,no
female,58,12,no
female,62,14,no
female,46,11,no
female,54,14,no
female,50,10,no
female,60,10,no
male,59,12,no
male,60,15,no
male,60,14,no
male,49,12,no
female,60,5,no
female,48,10,no
female,60,12,yes 
male,64,19,yes 
female,55,11,no
male,67,19,no
male,74,20,yes 
male,63,14,no
female,50,10,no
female,60,11,no
female,64,13,no
female,54,10,no
female,60,14,yes 
female,54,11,no
male,63,14,no
female,60,10,no
male,83,24,no
male,69,24,yes 
female,55,10,no
female,59,10,no
female,49,10,no
female,55,10,no
female,48,8,no
male,70,19,yes 
male,69,20,yes 
female,55,20,no
male,56,15,no
male,76,19,no
female,50,10,yes 
female,51,4,yes 
female,65,10,no
male,79,24,yes 
male,70,15,no
male,70,24,yes 
male,80,15,yes 
male,75,19,yes 
male,60,11,no
female,60,10,no
female,79,15,yes 
male,69,15,yes 
female,65,14,yes 
female,59,11,no
female,55,10,no
female,55,11,no
female,54,11,no
female,50,10,no
female,56,10,no
male,64,15,no
female,48,10,no
male,70,24,no
male,65,24,yes 
male,75,15,no
male,70,15,no
male,55,14,no
male,65,14,yes 
female,50,10,no
female,60,15,no
female,64,14,no
female,50,10,no
male,74,20,yes 
female,55,12,no
female,50,8,no
female,54,10,no
male,70,16,no
female,56,10,no
male,65,15,no
female,47,10,no
female,56,11,no
female,51,10,no
male,65,15,no
female,65,11,no
male,65,14,no
male,65,14,no
female,50,10,no
male,62,15,no
male,61,15,no
male,75,15,no
female,64,11,no
male,64,15,no
male,65,15,no
male,65,14,no
female,65,12,no
male,65,15,no
male,71,20,no
male,67,14,no
male,80,20,no
male,67,20,no
female,60,11,no
male,66,15,no
male,64,15,no
male,79,19,no
male,58,14,no
male,60,14,no
male,56,13,yes 
male,50,14,no
female,60,12,no
female,66,12,no
female,42,9,no
female,45,9,no
female,45,10,no
female,50,13,no
female,46,6,no
female,49,9,no
male,70,19,no
male,62,13,yes 
male,71,15,yes 
female,56,11,no
male,61,10,no
female,55,11,no
male,65,13,yes 
female,56,10,no
female,60,11,no
female,55,10,no
female,45,9,no
female,56,10,no
female,60,11,no
male,55,12,no
male,70,15,no
male,70,15,no
female,51,10,no
male,60,10,no
male,60,10,no
female,61,11,no
female,65,10,no
male,79,21,yes 
male,75,19,yes 
male,71,22,no
male,65,15,no
female,56,10,no
female,62,11,no
female,55,11,yes 
female,59,11,no
male,55,10,no
female,50,9,no
male,60,14,no
male,66,16,no
male,62,12,no
male,65,14,yes 
male,74,15,no
male,71,19,yes 
female,60,11,no
female,56,10,no
female,56,10,no
female,56,7,no
female,55,10,no
female,63,12,no
male,62,16,no
male,71,15,no
male,76,16,no
male,62,15,no
male,63,14,no
female,62,12,no
male,71,16,no
female,60,11,no
female,55,10,no
female,54,10,no
female,54,11,no
male,64,19,no
male,60,15,no
male,60,15,no
female,54,10,no
male,75,25,no
female,60,11,no
male,65,14,no
male,59,15,yes 
female,58,11,no
male,67,15,no
male,74,21,yes 
male,75,19,no
female,56,15,no
female,64,15,no
female,59,11,no
male,63,12,no
male,69,19,no
female,65,12,no
female,66,10,no
female,55,9,no
female,75,14,no
female,55,10,no
female,55,10,no
female,59,10,no
female,59,12,no
male,63,16,no
male,69,20,no
male,61,15,no
male,82,21,no
male,76,19,yes 
male,64,14,no
male,70,18,no
male,25,8,no
male,71,15,no
male,66,15,no
male,55,12,no
male,70,20,no
male,51,11,no
female,55,10,no
female,51,10,no
female,55,10,no
female,56,11,no
female,53,10,no
female,56,11,no
female,58,8,no
female,51,10,no
female,52,9,no
female,58,10,no
male,59,15,no
female,51,9,no
female,48,7,no
female,49,8,no
female,54,11,no
female,55,11,no
female,50,9,no
female,59,12,no
female,57,12,no
female,56,12,no
female,54,8,no
female,56,11,no
female,69,13,no
female,61,16,no
female,71,16,no
female,64,15,no
female,62,12,no
female,56,12,no
female,60,13,no
female,59,11,no
female,64,14,no
female,61,12,no
female,64,15,no
female,57,13,no
female,62,14,no
female,63,12,no
female,71,15,no
female,62,12,no
female,66,12,no
female,61,13,no
female,64,12,no
female,62,14,no
female,59,11,no
female,52,11,no
female,57,13,no
female,59,16,no
female,63,14,no
female,59,16,no
female,63,14,no
female,59,13,no
female,59,13,no
female,57,12,no
female,54,10,no
female,59,11,no
female,59,13,no
female,57,16,no
female,61,13,no
female,62,13,no
female,65,12,no
female,54,15,no
female,63,11,no
female,59,13,no
female,64,14,no
female,60,12,no
female,65,14,no
female,59,12,no
female,62,14,no
female,57,19,no
female,61,13,no
female,61,11,no
female,62,12,no
male,58,14,no
male,74,18,no
male,65,19,no
male,75,21,no
male,66,18,no
male,65,18,no
male,75,19,no
male,65,20,no
male,65,18,no
male,75,23,no
male,70,17,no
male,66,16,no
male,68,17,no
male,71,19,no
male,75,26,no
male,72,19,no
male,65,16,no
male,69,16,no
male,69,18,no
male,68,16,no
male,67,18,no
male,74,23,no
male,70,18,no
male,74,19,no
male,62,16,no
male,68,16,no
male,70,19,no
male,71,17,no
male,68,17,no
male,59,14,no
male,67,17,no
male,64,17,no
male,67,17,no
male,65,19,no
male,64,17,no
male,66,19,no
male,66,15,no
