Date,Rep,Trial,Clam,Sed,Density,Sex,CW,Claw_width,Clam_Consumed,Failed to bury,Dug up but uneaten,Notes
20-Jun-22,1,1,VC,no,1,F,72,16,0,NA,,
20-Jun-22,1,2,VC,no,2,F,56,8,1,NA,,fiesty
20-Jun-22,1,3,VC,no,4,F,62,17,2,NA,,2 legs
20-Jun-22,1,4,VC,no,6,F,70,10,5,NA,,
20-Jun-22,1,5,VC,no,10,F,55,10,2,NA,,
20-Jun-22,1,6,VC,no,16,F,68,16,5,NA,,
22-Jun-22,2,1,VC,no,1,F,65,14,1,NA,,
22-Jun-22,2,2,VC,no,2,F,62,11,2,NA,,
22-Jun-22,2,3,VC,no,4,F,61,12,3,NA,,
22-Jun-22,2,4,VC,no,6,F,70,15,6,NA,,
22-Jun-22,2,5,VC,no,10,F,71,14,4,NA,,
22-Jun-22,2,6,VC,no,16,F,63,15,4,NA,,
22-Jun-22,3,1,VC,no,1,F,63,16,1,NA,,
22-Jun-22,3,2,VC,no,2,F,70,18,2,NA,,
22-Jun-22,3,3,VC,no,4,F,64,14,3,NA,,
22-Jun-22,3,4,VC,no,6,F,60,12,3,NA,,
22-Jun-22,3,5,VC,no,10,F,70,16,4,NA,,
24-Jun-22,3,6,VC,no,16,F,65,15,2,NA,,
23-Jun-22,4,1,VC,no,1,F,73,15,1,NA,,
23-Jun-22,4,2,VC,no,2,F,69,14,2,NA,,
23-Jun-22,4,3,VC,no,4,F,59,10,2,NA,,
23-Jun-22,4,4,VC,no,6,F,66,14,4,NA,,
23-Jun-22,4,5,VC,no,10,F,71,16,7,NA,,
23-Jun-22,4,6,VC,no,16,F,50,10,2,NA,,
23-Jun-22,5,1,VC,no,1,F,66,16,1,NA,,
23-Jun-22,5,2,VC,no,2,F,65,15,2,NA,,
23-Jun-22,5,3,VC,no,4,F,60,12,4,NA,,
23-Jun-22,5,4,VC,no,6,F,76,16,5,NA,,
23-Jun-22,5,5,VC,no,10,F,66,16,4,NA,,
23-Jun-22,5,6,VC,no,16,F,58,14,8,NA,,
24-Jun-22,6,1,VC,no,1,F,68,13,0,NA,,eggs
24-Jun-22,6,2,VC,no,2,F,64,13,2,NA,,
24-Jun-22,6,3,VC,no,4,F,62,13,0,NA,,
24-Jun-22,6,4,VC,no,6,F,60,11,0,NA,,
